# WHO ATC 5단계 코드 -> 영문 성분명 (구분자: |, 줄바꿈: LF)
# 출처: WHO ATC/DDD Index. 성분명에 쉼표가 있어 파이프 구분자를 사용한다.
atc_code|ingredient_en|is_combination
A03CA06|bevonium and psycholeptics|N
A03CA07|ambutonium and psycholeptics|N
A03CA08|diphemanil and psycholeptics|N
A03CA09|pipenzolate and psycholeptics|N
A03CA30|emepronium and psycholeptics|N
A03CA34|propantheline and psycholeptics|N
A03CB01|methylscopolamine and psycholeptics|N
A03CB02|belladonna total alkaloids and psycholeptics|N
A03CB03|atropine and psycholeptics|N
A03CB04|homatropine methylbromide and psycholeptics|N
A03CB31|hyoscyamine and psycholeptics|N
A03DA01|tropenzilone and analgesics|N
A03DA02|pitofenone and analgesics|N
A03DA03|bevonium and analgesics|N
A03DA04|ciclonium and analgesics|N
A03DA05|camylofin and analgesics|N
A03DA06|trospium and analgesics|N
A03DA07|tiemonium iodide and analgesics|N
A03DB04|butylscopolamine and analgesics|N
A03FA01|metoclopramide|N
A03FA02|cisapride|N
A03FA03|domperidone|N
A03FA04|bromopride|N
A03FA05|alizapride|N
A03FA06|clebopride|N
A03FA07|itopride|N
A03FA08|cinitapride|N
A03FA09|mosapride|N
A04AA01|ondansetron|N
A04AA02|granisetron|N
A04AA03|tropisetron|N
A04AA04|dolasetron|N
A04AA05|palonosetron|N
A04AA55|palonosetron|Y
A04AD01|scopolamine|N
A04AD02|cerium oxalate|N
A04AD04|chlorobutanol|N
A04AD05|metopimazine|N
A04AD10|dronabinol|N
A04AD11|nabilone|N
A04AD12|aprepitant|N
A04AD13|casopitant|N
A04AD14|rolapitant|N
A04AD51|scopolamine|Y
A04AD54|chlorobutanol|Y
A05AA01|chenodeoxycholic acid|N
A05AA02|ursodeoxycholic acid|N
A05AA03|cholic acid|N
A05AA04|obeticholic acid|N
A05AB01|nicotinyl methylamide|N
A05AX01|piprozolin|N
A05AX02|hymecromone|N
A05AX03|cyclobutyrol|N
A05BA01|arginine glutamate|N
A05BA03|silymarin|N
A05BA04|citiolone|N
A05BA05|epomediol|N
A05BA06|ornithine oxoglurate|N
A05BA07|tidiacic arginine|N
A05BA08|glycyrrhizic acid|N
A05BA09|metadoxine|N
A06AA01|liquid paraffin|N
A06AA02|docusate sodium|N
A06AA51|liquid paraffin|Y
A06AB01|oxyphenisatine|N
A06AB02|bisacodyl|N
A06AB03|dantron|N
A06AB04|phenolphthalein|N
A06AB05|castor oil|N
A06AB06|senna glycosides|N
A06AB07|cascara|N
A06AB08|sodium picosulfate|N
A06AB09|bisoxatin|N
A06AB20|contact laxatives in combination|N
A06AB30|contact laxatives in combination with belladonna alkaloids|N
A06AB52|bisacodyl|Y
A06AB53|dantron|Y
A06AB56|senna glycosides|Y
A06AB57|cascara|Y
A06AB58|sodium picosulfate|Y
A06AC01|ispaghula (psylla seeds)|N
A06AC02|ethulose|N
A06AC03|sterculia|N
A06AC05|linseed|N
A06AC06|methylcellulose|N
A06AC07|triticum (wheat fibre)|N
A06AC08|polycarbophil calcium|N
A06AC51|ispaghula|Y
A06AC53|sterculia|Y
A06AC55|linseed|Y
A06AD01|magnesium carbonate|N
A06AD02|magnesium oxide|N
A06AD03|magnesium peroxide|N
A06AD04|magnesium sulfate|N
A06AD10|mineral salts in combination|N
A06AD11|lactulose|N
A06AD12|lactitol|N
A06AD13|sodium sulfate|N
A06AD14|pentaerithrityl|N
A06AD15|macrogol|N
A06AD16|mannitol|N
A06AD17|sodium phosphate|N
A06AD18|sorbitol|N
A06AD19|magnesium citrate|N
A06AD21|sodium tartrate|N
A06AD61|lactulose|Y
A06AD65|macrogol|Y
A06AG01|sodium phosphate|N
A06AG02|bisacodyl|N
A06AG03|dantron|Y
A06AG04|glycerol|N
A06AG06|oil|N
A06AG07|sorbitol|N
A06AG10|docusate sodium|Y
A06AG11|sodium lauryl sulfoacetate|Y
A06AG20|combinations|N
A06AH01|methylnaltrexone bromide|N
A06AH02|alvimopan|N
A06AH03|naloxegol|N
A06AH04|naloxone|N
A06AH05|naldemedine|N
A06AX01|glycerol|N
A06AX02|carbon dioxide producing drugs|N
A06AX03|lubiprostone|N
A06AX04|linaclotide|N
A06AX05|prucalopride|N
A06AX06|tegaserod|N
A06AX07|plecanatide|N
A06AX08|tenapanor|N
A07AA01|neomycin|N
A07AA02|nystatin|N
A07AA03|natamycin|N
A07AA04|streptomycin|N
A07AA05|polymyxin B|N
A07AA06|paromomycin|N
A07AA07|amphotericin B|N
A07AA08|kanamycin|N
A07AA09|vancomycin|N
A07AA10|colistin|N
A07AA11|rifaximin|N
A07AA12|fidaxomicin|N
A07AA13|rifamycin|N
A07AA51|neomycin|Y
A07AA54|streptomycin|Y
A07AB02|phthalylsulfathiazole|N
A07AB03|sulfaguanidine|N
A07AB04|succinylsulfathiazole|N
A07AC01|miconazole|N
A07AX01|broxyquinoline|N
A07AX02|acetarsol|N
A07AX03|nifuroxazide|N
A07AX04|nifurzide|N
A07BA01|medicinal charcoal|N
A07BA51|medicinal charcoal|Y
A07BC01|pectin|N
A07BC02|kaolin|N
A07BC03|crospovidone|N
A07BC04|attapulgite|N
A07BC05|diosmectite|N
A07BC30|combinations|N
A07BC54|attapulgite|Y
A07DA01|diphenoxylate|N
A07DA02|opium|N
A07DA03|loperamide|N
A07DA04|difenoxin|N
A07DA05|loperamide oxide|N
A07DA06|eluxadoline|N
A07DA52|morphine|Y
A07DA53|loperamide|Y
A07EA01|prednisolone|N
A07EA02|hydrocortisone|N
A07EA03|prednisone|N
A07EA04|betamethasone|N
A07EA05|tixocortol|N
A07EA06|budesonide|N
A07EA07|beclometasone|N
A07EB01|cromoglicic acid|N
A07EC01|sulfasalazine|N
A07EC02|mesalazine|N
A07EC03|olsalazine|N
A07EC04|balsalazide|N
A07FA01|lactic acid producing organisms|N
A07FA02|saccharomyces boulardii|N
A07FA51|lactic acid producing organisms|Y
A07XA01|albumin tannate|N
A07XA02|ceratonia|N
A07XA03|calcium compounds|N
A07XA04|racecadotril|N
A07XA06|crofelemer|N
A07XA51|albumin tannate|Y
A08AA01|phentermine|N
A08AA02|fenfluramine|N
A08AA03|amfepramone|N
A08AA04|dexfenfluramine|N
A08AA05|mazindol|N
A08AA06|etilamfetamine|N
A08AA07|cathine|N
A08AA08|clobenzorex|N
A08AA09|mefenorex|N
A08AA10|sibutramine|N
A08AA11|lorcaserin|N
A08AA56|ephedrine|Y
A08AA62|bupropion and naltrexone|N
A08AB01|orlistat|N
A08AX01|rimonabant|N
A09AA01|diastase|N
A09AA02|multienzymes (lipase, protease etc.)|N
A09AA03|pepsin|N
A09AA04|tilactase|N
A09AB01|glutamic acid hydrochloride|N
A09AB02|betaine hydrochloride|N
A09AB03|hydrochloric acid|N
A09AB04|citric acid|N
A09AC01|pepsin and acid preparations|N
A09AC02|multienzymes and acid preparations|N
A10AB01|insulin (human)|N
A10AB02|insulin (beef)|N
A10AB03|insulin (pork)|N
A10AB04|insulin lispro|N
A10AB05|insulin aspart|N
A10AB06|insulin glulisine|N
A10AB30|combinations|N
A10AC01|insulin (human)|N
A10AC02|insulin (beef)|N
A10AC03|insulin (pork)|N
A10AC04|insulin lispro|N
A10AC30|combinations|N
A10AD01|insulin (human)|N
A10AD02|insulin (beef)|N
